###############################################################################
# Information about Dragon 64 ROM - 32K mode
#
# Collected from:
#     http://archive.worldofdragon.org/phpBB3/viewtopic.php?f=5&t=4370&start=10#p11378
# AUTHOR: Stewart Orchard alias sorchard
#
# copyleft: 2014 by the 6809 team, see AUTHORS for more details.
# license: GNU GPL v3 or above, see LICENSE for more details.
#
###############################################################################

$8000-$8012 ; * standard JMP vectors
$8371-$839b ; * command mode
$8371       ; initialise virtual DEVN device & new line
$8377       ; print 'OK'
$837a       ; line input from DEVN
$8380       ; current line number
$8382       ; command mode without 'OK'
$8384       ; eof flag
$8386       ; close file & return to command mode
$838a       ; BASIC source pointer
$838c       ; get next character from BASIC source
$838e       ; command mode without 'OK'
$8390       ; enter BASIC line
$8392       ; ?DS ERROR
$8394       ; DEVN
$8396       ; cause error
$8398       ; tokenize BASIC line
$839b       ; enter interpreter loop

$839e-$83a0 ; * used by error routine to print error code
$83a0       ; output character to DEVN

$83a3-$83eb ; * enter a BASIC line
$83a3       ; read line number & store in $2b
$83ab       ; tokenize BASIC line
$83ae       ; line length
$83b0       ; search program for line number in <$2b
$83b2       ; line number doesn't exist
$83b4       ; address where line needs to go
$83b6       ; subtract next line pointer (-ve result)
$83b8       ; start of simple variables
$83ba       ; new end of program
$83be       ; move program down, erasing existing line
$83c2       ; start of simple variables
$83c9       ; new line is empty
$83cb       ; start of simple variables
$83cf       ; new line length
$83d5       ; move memory contents up
$83dd       ; copy new line into space just created
$83e5       ; new end of program
$83e7       ; clear variables and reset stack & cmd ptr
$83e9       ; set up next line pointers in BASIC program
$83eb       ; command mode without 'OK'

$83ed-$83fd ; * set up next line pointers in BASIC program
$83ed       ; start of BASIC program
$83f1       ; RTS

$83ff-$8401 ; * search program for line number in <$2b
$8401       ; start of BASIC program

$8403-$8414 ; * scan ahead for line in D & store address in $47
$8403-$8414 ; * (first line after if it doesn't exist - carry clear if found)
$8405       ;  end of program
$8407       ;  scan program until line no. is greater
$840a       ;  than D
$840c       ;  next line

$8415-$8446 ; * NEW
$8417       ; start of BASIC program
$841d       ; start of simple variables
$841f       ; start of BASIC program
$8421       ; subtract 1 from X & store in $a6
$8424       ; PATCH - reset BASIC memory
$8427       ; top of BASIC RAM
$8429       ; top of free string space
$842b       ; RESTORE
$842e       ; start of simple variables
$8430       ; start of array variables
$8432       ; end of BASIC storage
$843b       ; stack root / string storage start
$8440       ; CONT source address

$8448-$849d ; * FOR
$8448-$849d ; * creates following 18 byte stack entry:
$8448-$849d ; * ,S   #$80
$8448-$849d ; * 1,S   varptr of control variable
$8448-$849d ; * 3,S   STEP value (unsigned FP)
$8448-$849d ; * 8,S   sign of STEP value (-1, 0 ,1)
$8448-$849d ; * 9,S   TO value (signed FP)
$8448-$849d ; * 14,S   line number of FOR statement
$8448-$849d ; * 16,S   address of statement after FOR
$844a       ; array illegal flag
$844c       ; LET
$844f       ; examine BASIC stack
$8452       ; lose return address
$8454       ; no FOR with same control variable already
$8458       ; overwrite duplicate FOR entry
$845c       ; memory check
$845f       ; find end of statement
$8462       ; current line number
$8464       ; push next statement ptr & current line no.
$8466       ; token TO
$8468       ; skip character in B
$846b       ; validate numeric expression
$846e       ; read numeric expression into FPA1
$8473       ; convert FPA1 back to standard variable
$847d       ; push FPA1 onto stack & JMP ,Y
$8480       ; FP constant 1
$8483       ; load variable into FPA1 (X is varptr)
$8486       ; get current character from BASIC source
$8488       ; token STEP
$848a       ; no STEP value specified
$848c       ; get next character from BASIC source
$848e       ; read numeric expression into FPA1
$8491       ; sets B to -1, 0 or 1 as per sign of FPA1
$8494       ; push B then FPA1 onto stack
$8497       ; varptr of control variable
$849b       ; FOR signature on stack

$849f-$84da ; * interpreter loop
$849f       ; PATCH - get command
$84a2       ; unmask interrupts
$84a4       ; scan for BREAK / pause
$84a6       ; BASIC source pointer
$84a8       ; address of current BASIC statement
$84ac       ; end of line
$84b2       ; ?SN ERROR
$84b7       ; this will be zero when end reached
$84b9       ; end of program
$84bf       ; current line number
$84c1       ; BASIC source pointer
$84c3       ; trace flag
$84c5       ; trace off
$84c9       ; output character to DEVN
$84cc       ; current line number
$84ce       ; print unsigned number in D
$84d3       ; output character to DEVN
$84d6       ; get next character from BASIC source
$84d8       ; interpret statement
$84da       ; interpreter loop

$84dc-$8512 ; * interpret statement
$84dc       ; RTS
$84de       ; PATCH - interpreter
$84e2       ; variable on LHS (LET)
$84e8       ; not a BASIC command
$84ea       ; command JMP table
$84f1       ; get next character from BASIC source
$84f7       ; function
$84fb       ; ?SN ERROR
$84fd       ; must be disk command
$8501       ; get next character from BASIC source
$8505       ; MID$ on LHS
$850b       ; TIMER on LHS
$850f       ; PATCH - CLS GET PUT ???
$8512       ; ?SN ERROR

$8514-$851a ; * RESTORE
$8514       ; start of BASIC program
$8518       ; READ pointer

$851b-$8530 ; * scan keyboard for break & pause
$851b       ; scan keyboard
$8522       ; BREAK
$8526       ; SHIFT + @
$852b       ; scan keyboard

$8532-$8537 ; * END
$8532       ; close cassette stream
$8535       ; get current character from BASIC source

$8539-$855d ; * STOP
$853b       ; RTS
$853d       ; BASIC source pointer
$853f       ; address of current BASIC statement
$8541       ; make -ve for STOP
$8543       ; lose return address
$8545       ; current line number
$854a       ; already in command mode
$854c       ; CONT line number
$854e       ; address of current BASIC statement
$8550       ; CONT source address
$8552       ; DEVN
$8554       ; /BREAK/
$8559       ; command mode
$855d       ; print BREAK message

$8560-$8570 ; * CONT
$8560       ; RTS
$8562       ; ?CN ERROR
$8564       ; CONT source address
$8566       ; cause error
$856a       ; BASIC source pointer
$856c       ; CONT line number
$856e       ; current line number

$8571-$85a2 ; * CLEAR
$8571       ; clear variables & reset stack
$8573       ; read unsigned number into $52 & D
$8578       ; top of BASIC RAM
$857a       ; get current character from BASIC source
$857e       ; skip comma
$8581       ; read 16 bit number into X
$8586       ; top of RAM
$8588       ; ?OM ERROR
$858e       ; ?OM ERROR
$8595       ; ?OM ERROR
$8597       ; start of simple variables
$8599       ; ?OM ERROR
$859b       ; new stack address
$859d       ; new top of BASIC RAM
$859f       ; clear variables & reset stack
$85a2       ; ?OM ERROR

$85a5-$85b7 ; * RUN
$85a5       ; PATCH - run
$85a8       ; set up sound & graphics variables
$85ab       ; close cassette stream
$85ae       ; get current character from BASIC source
$85b0       ; clear variables and reset stack & cmd ptr
$85b4       ; clear variables & reset stack
$85b7       ; perform GOTO

$85b9-$85d4 ; * GO  (TO/SUB)
$85b9-$85d4 ; * GOSUB creates following 5 byte stack entry:
$85b9-$85d4 ; * ,S     #$BD
$85b9-$85d4 ; * 1,S     line number of GOSUB statement
$85b9-$85d4 ; * 3,S     address of GOSUB statement (points to SUB token)
$85bb       ; get next character from BASIC source
$85bd       ; token TO
$85bf       ; perform GOTO
$85c1       ; token SUB
$85c3       ; ?SN ERROR
$85c7       ; memory check
$85ca       ; BASIC source pointer
$85cc       ; current line number
$85ce       ; token SUB
$85d2       ; perform GOTO
$85d4       ; interpreter loop

$85d7-$85f2 ; * perform GOTO
$85d7       ; get current character from BASIC source
$85d9       ; read line number & store in $2b
$85dc       ; find end of line
$85e2       ; current line number
$85e7       ; start of BASIC program
$85e9       ; scan for line D
$85ec       ; ?UL ERROR
$85f0       ; BASIC source pointer

$85f3-$8604 ; * RETURN
$85f3       ; RTS
$85f7       ; set $3b to skip all FOR entries
$85f9       ; examine BASIC stack
$85fc       ; point stack to this entry
$8600       ; GOSUB signature (#$BD - #$80)
$8602       ; ?RG ERROR

$8607-$8611 ; * (8605 C60E       LDB   #$0E)    ;?UL ERROR
$8607       ; cause error
$860a       ; ?SN ERROR
$860f       ; current line number
$8611       ; BASIC source pointer

$8613-$8615 ; * DATA
$8613-$8615 ; * (simply skips to next statement)
$8613       ; find end of statement

$8618-$861a ; * REM / ELSE
$8618-$861a ; * (8616 8D06       BSR   $861E)   ;find end of line
$8618       ; BASIC source pointer

$861b-$861d ; * find end of statement

$861f-$8645 ; * (861E 5F         CLRB)
$8622       ; BASIC source pointer
$862c       ; RTS
$8632       ; RTS
$863f       ; token IF (+1)
$8643       ; increment for each IF token encountered

$8647-$8672 ; * IF
$8647-$8672 ; * IF condition (THEN/GOTO) [IF...THEN [IF...THEN...ELSE] ELSE] ELSE
$8647-$8672 ; * --                                                           ----
$8647-$8672 ; * ELSEs are tied to previous IFs
$8647       ; read numeric expression into FPA1
$864a       ; get current character from BASIC source
$864c       ; token GO
$8650       ; token THEN
$8652       ; skip character in B
$8657       ; IF condition true
$8659       ; clear IF counter
$865b       ; skip to start of next statement
$865e       ; RTS
$8660       ; get next character from BASIC source
$8662       ; token ELSE
$8664       ; we're looking for ELSE
$8666       ; any IFs skipped?
$8668       ; this ELSE doesn't go with this IF
$866a       ; get next character from BASIC source
$866c       ; get current character from BASIC source
$866e       ; it's a number - perform GOTO
$8672       ; interpret statement

$8675-$8698 ; * ON
$8675       ; get number into B
$8678       ; token GO
$867a       ; skip character in B
$867f       ; token SUB
$8683       ; token TO
$8685       ; ?SN ERROR
$8687       ; control variable
$868d       ; GO (cmd pointer now at desired choice)
$8690       ; get next character from BASIC source
$8692       ; read line number & store in $2b

$869a-$86ba ; * read line number from command & store in $2b
$869a       ; zero
$869e       ; not a digit - RTS
$86a6       ;  D > 6399?
$86a8       ; ?SN ERROR
$86ac       ;  D = D * 10
$86b2       ; add new digit
$86b8       ; get next character from BASIC source
$86ba       ; process another digit

$86bc-$8704 ; * LET
$86bc       ; get varptr of variable in X
$86c1       ; token =
$86c3       ; skip character in B
$86c6       ; numeric / string flag
$86ca       ; get expression
$86cf       ; check that variable & expression
$86d0       ; are of same type
$86d3       ; assign FPA1 to varptr in <$3b
$86d7       ; PATCH - assign string variable
$86dc       ; stack root / string storage start
$86e3       ; start of simple variables
$86e9       ; reserve B bytes of string space
$86ee       ; copy string (len B) from varptr X to ($25)+
$86f6       ; if X is top of string stack then pull it

$8705       ; * string used by INPUT
$8705       ; /?REDO/CR

$870c-$872a ; * take action for illegal input
$870c       ; ?FD ERROR
$870e       ; DEVN
$8712       ; cause error
$8719       ; line number of current DATA statement
$871b       ; current line number
$871d       ; ?SN ERROR
$8720       ; /?REDO/
$8723       ; print string to DEVN
$8726       ; address of current BASIC statement
$8728       ; BASIC source pointer

$872b-$8776 ; * INPUT
$872b       ; test for command mode
$8730       ; DEVN
$8737       ; read #-n & set up DEVN
$873a       ; test cassette status OK for input
$873d       ; skip comma
$8742       ; no prompt
$8744       ; read literal string
$8749       ; skip character in B
$874c       ; print prompt
$8754       ; DEVN
$8758       ; get something into input buffer
$875e       ; read input into variables
$8760       ; print '?' to DEVN
$8763       ; print a space to DEVN
$8766       ; line input from DEVN
$876d       ; BREAK
$8770       ; ?IE ERROR
$8772       ; eof flag

$8777-$8818 ; * READ
$8777       ; READ pointer
$877f       ; get varptr of variable in X
$8784       ; BASIC source pointer
$8792       ; PATCH - re-request input
$8795       ; print '?' to DEVN
$879a       ; BASIC source pointer
$879c       ; get next character from BASIC source
$879e       ; numeric / string flag
$87a2       ; BASIC source pointer
$87af       ; initialise virtual DEVN device
$87b2       ; cassette IO flag
$87b4       ; IO in progress
$87be       ; compile literal string at X
$87c4       ; assign string variable
$87c9       ; read numeric constant into FPA1
$87cc       ; assign FPA1 to varptr in <$3b
$87cf       ; get current character from BASIC source
$87d5       ; take action for illegal input
$87d9       ; BASIC source pointer
$87df       ; BASIC source pointer
$87e1       ; get current character from BASIC source
$87e5       ; skip comma
$87ea       ; BASIC source pointer
$87ec       ; find end of statement
$87fc       ; line number of current DATA statement
$8815       ; print string to DEVN

$8819       ; * string used by INPUT
$8819       ; /?EXTRA IGNORED/CR

$8829-$8870 ; * NEXT
$8829       ; control variable specified
$882b       ; zero
$882f       ; get varptr of variable in X
$8834       ; examine BASIC stack
$8837       ; found match
$8839       ; ?NF ERROR
$883d       ; point stack to this entry
$883f       ; point X to STEP value
$8841       ; load variable into FPA1 (X is varptr)
$8844       ; sign of STEP value
$8848       ; varptr of control variable
$884a       ; add varptr X to FPA1
$884d       ; assign FPA1 to varptr in <$3b
$8850       ; point X to terminating value
$8852       ; compare FPA1 - varptr X
$8855       ; test depends on step direction
$8857       ; terminating condition met
$885b       ; current line number
$8860       ; BASIC source pointer
$8862       ; interpreter loop
$8865       ; finished with this entry
$8868       ; get current character from BASIC source
$886c       ; no more variables after NEXT
$886e       ; get next character from BASIC source
$8870       ; BSR used for correct stack structure

$8872       ; * ;(never returns to $8872)
$8872       ; * get numeric expression into FPA1
$8872       ; get expression

$8874-$8876 ; * cause error if expression last evaluated not numeric

$8879-$887f ; * cause error if expression last evaluated not string
$8879-$887f ; * (8877 1A01       ORCC  #$01)
$8879       ; numeric / string flag
$887d       ; RTS

$8882-$8884 ; * (8880 2B96       BMI   $8818)   ;RTS
$8882       ; ?TM ERROR
$8884       ; cause error

$8887-$888a ; * get expression
$8887       ; move source pointer back one

$888d-$88b0 ; * (888B 3404       PSHS  B)
$8891       ; memory check
$8894       ; evaluate sub-expression
$8897       ; flag used for relational operators
$8899       ; get current character from BASIC source
$889b       ; branch to $88B2 if token is not in the set
$889d       ;   [ >, =, < ]
$88a3       ; map [0, 1, 2] to [1, 2, 4]
$88a6       ; determine valid combination of > = <
$88aa       ; ?SN ERROR
$88ae       ; get next character from BASIC source

$88b2-$88e7 ; *
$88b2       ;  $3f = [ 1, 2, 3, 4, 5, 6 ]
$88b4       ;  for   [ >  =  >= <  <> <= ]
$88bc       ; not a binary operator
$88be       ;  A = A + 1 + ($06)
$88c0       ;  '+' in a string expression
$88c4       ;  A = A - 1 if numeric expression
$88c9       ;  A = A * 3
$88cb       ; binary operator precedence table
$88d0       ; precedence of last operator
$88d4       ; new op. has a lower precedence
$88d6       ; validate numeric expression
$88da       ; push op handler & FPA1 / get expression
$88e3       ; LDB <$4F  RTS

$88e9-$88f5 ; * set up precedence / handler for rel. op.
$88e9       ; numeric / string flag
$88ec       ; move source pointer back one
$88f3       ; numeric / string flag

$88f7-$88f9 ; * move source pointer back one
$88f7       ; BASIC source pointer
$88f9       ; subtract 1 from X & store in $a6

$88fc-$8903 ; * rel. op. precedence & handler

$8905-$8910 ; * push op handler & FPA1 onto stack / get expression
$8905       ; op handler
$8909       ; push FPA1 onto stack
$890b       ; rel. op. flag
$890d       ; get expression
$8910       ; ?SN ERROR

$8913-$8923 ; * push FPA1 onto stack

$8925-$8953 ; * end of expression / execute operator
$8925       ; zero
$8929       ; LDB <$4F  RTS
$892f       ; validate numeric expression
$8938       ; RTS
$893c       ; RTS
$893e       ; sets carry if rel. op. was for string
$8941       ; pull FPA2 off stack
$8943       ; set $62 up with sign difference
$8947       ; LDB <$4F
$894b       ; RTS calls operator handler
$894d       ; (with carry from above)

$8954-$89a1 ; * evaluate sub-expression ('+' & '-' treated as signs)
$8954       ; PATCH - evaluate expression
$8957       ; numeric / string flag
$8959       ; get next character from BASIC source
$895d       ; read numeric constant into FPA1
$8960       ; carry clear if A-Z
$8963       ; evaluate variable
$8969       ; token -
$896b       ; read expression & negate
$896d       ; token +
$896f       ; ignore +
$8975       ; BASIC source pointer
$8977       ; compile literal string at X
$897c       ; move source pointer to end of string
$897f       ; token NOT
$8988       ; read signed number from FPA1 to $52 & D
$898d       ; assign D to FPA1
$8990       ; token FN
$8998       ; read octal or hex number into $52 / $53
$899d       ; evaluate function
$899f       ; skip open bracket (only legal chr. left)
$89a1       ; get expression

$89a4-$89a6 ; * check for close bracket

$89a9       ; * check for open bracket
$89a9       ; * (89A7 C628       LDB   #$28)

$89ac-$89b6 ; * check for comma
$89ac-$89b6 ; * (89AA C62C       LDB   #$2C)
$89ac-$89b6 ; * check for character in B
$89b0       ; ?SN ERROR
$89b2       ; get next character from BASIC source
$89b4       ; ?SN ERROR
$89b6       ; cause error

$89b9-$89be ; * read expression & negate FPA1
$89be       ; COM $54 if FPA1 non zero

$89c1-$89ca ; * evaluate variable
$89c1       ; get varptr of variable in X
$89c6       ; numeric / string flag
$89c8       ; RTS (string)
$89ca       ; load variable into FPA1 (X is varptr)

$89cd-$8a03 ; * evaluate function
$89cd       ; get next character from BASIC source
$89d2       ; get next character from BASIC source
$89d8       ; disk function despatch
$89e0       ; functions with single arguments
$89e4       ; functions with special or no arguments
$89e6       ; skip open bracket
$89ec       ; not LEFT$, RIGHT$ or MID$
$89ee       ; get expression
$89f1       ; skip comma
$89f3       ; validate string
$89fc       ; get number into B

$8a06-$8a0e ; * (8A04 8D99       BSR   $899F)   ;get expression inside brackets
$8a08       ; function despatch table
$8a0e       ; validate numeric expression

$8a11       ; * OR

$8a13-$8a2e ; * AND
$8a13-$8a2e ; * (8A12 4F         CLRA)
$8a15       ; read signed number from FPA1 to $52 & D
$8a1a       ; copy FPA2 to FPA1
$8a1d       ; read signed number from FPA1 to $52 & D
$8a2e       ; assign D to FPA1

$8a31-$8a88 ; * handler for relational operators
$8a31       ; validate string / numeric using carry
$8a34       ; valid string
$8a3e       ; FPA2
$8a41       ; compare FPA1 - varptr X
$8a46       ; numeric / string flag
$8a4a       ; point X to string just compiled & len in B
$8a53       ; point X to string & length in B
$8a7c       ; map [-1, 0, 1] to [1, 2, 4]
$8a7f       ; rel. op. number
$8a85       ; assign B to FPA1 (result of relation)
$8a88       ; skip comma

$8a8b-$8a93 ; * DIM
$8a8d       ; create variable
$8a8f       ; get current character from BASIC source
$8a91       ; skip comma & read next array

$8a94-$8a95 ; * gets VARPTR address of following variable
$8a94-$8a95 ; * set $08 to #$80 to exclude array variables
$8a94-$8a95 ; * creates new variable if not found
$8a94-$8a95 ; * returns $39 = X = varptr address
$8a95       ; get current character from BASIC source

$8a97-$8add ; * set B to cause error if array variable already exists
$8a9b       ; get current character from BASIC source
$8a9d       ; carry clear if A-Z
$8a9f       ; ?SN ERROR
$8aa4       ; numeric / string flag
$8aa6       ; get next character from BASIC source
$8aaa       ; carry clear if A-Z
$8ab0       ; get next character from BASIC source
$8ab4       ; carry clear if A-Z
$8aba       ; numeric variable
$8abc       ; numeric / string flag
$8ac0       ; get next character from BASIC source
$8ac4       ; set $08 to #$80 to exclude array variables
$8ac8       ; array variable
$8ace       ; start of simple variables
$8ad2       ; start of array variables
$8ad4       ; not found - create variable
$8ad9       ; found existing variable - STX <$39 & RTS
$8add       ; keep looking

$8adf-$8ae7 ; * clear carry if A contains 'A'-'Z'

$8ae8-$8b1c ; * create variable
$8aed       ; if called by evaluate variable routine - RTS
$8af1       ; (with X pointing to zero)
$8af3       ; end of BASIC storage
$8afc       ; start of array variables
$8b00       ; move memory contents up
$8b05       ; end of BASIC storage
$8b09       ; start of array variables
$8b0d       ; variable name
$8b1c       ; FP constant -32768

$8b21-$8b26 ; * read unsigned number into $52 & D
$8b21       ; get next character from BASIC source
$8b23       ; read numeric expression into FPA1
$8b26       ; validate numeric expression

$8b29-$8b2b ; * read +ve number from FPA1 into $52 & D
$8b2b       ; ?FC ERROR

$8b2d-$8b43 ; * read signed number from FPA1 into $52 & D
$8b2d       ; validate numeric expression
$8b36       ; only 16 bit number allowed is -32768
$8b39       ; compare FPA1 - varptr X
$8b3c       ; ?FC ERROR
$8b3e       ; denormalize FPA1 to an integer

$8b44-$8b8c ; * get varptr of variable continued (handle arrays)
$8b46       ; numeric / string flag
$8b4f       ; read unsigned number into $52 & D
$8b5a       ; get current character from BASIC source
$8b5e       ; get next dimension
$8b60       ; number of dimensions
$8b62       ; skip close bracket
$8b67       ; numeric / string flag
$8b6b       ; start of array variables
$8b6d       ; end of BASIC storage
$8b6f       ; not found - create new array
$8b76       ; found array name
$8b7c       ; keep looking
$8b7e       ; ?DD ERROR
$8b82       ; cause error if array exists & $05 set
$8b88       ; correct number of dimensions
$8b8a       ; ?BS ERROR

$8b8f-$8c10 ; * (8B8D C608       LDB   #$08)    ;?FC ERROR
$8b8f       ; cause error
$8b92       ; bytes per element
$8b99       ; array name
$8b9d       ; number of dimensions
$8b9f       ; memory check
$8ba2       ; start of array header
$8ba4       ; default number of elements
$8bb2       ; D = word at 5,X * word at $64
$8bba       ; next dimension
$8bbc       ; start of array element storage
$8bbe       ; D = end of array
$8bc0       ; ?OM ERROR
$8bc6       ; memory check (also adds #$3a to D)
$8bcc       ; end of BASIC storage
$8bcf       ; clear array
$8bd7       ; array header
$8bd9       ; end of BASIC storage
$8bdd       ; offset to next array (when it's created)
$8be1       ; RTS
$8bf2       ; ?BS ERROR
$8bf8       ; D = word at 5,X * word at $64
$8c08       ;  D = D * 5

$8c11-$8c2e ; * D = word at 5,X * word at $64
$8c1d       ; ?BS ERROR
$8c27       ; ?BS ERROR
$8c2e       ; ?BS ERROR

$8c31-$8c33 ; * MEM
